Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-3.17,54,-974,0.820256063,13,908,-0.734519317,-1,78,,3.403441582
-2.83,48,-972,0.822066534,13,906,-5.12817905,-7,78,,3.032695524
-3.06,52,-974,1.072590517,17,908,-3.576326012,-5,80,,3.277668288
-3.18,54,-972,0.698692749,11,902,-3.489316746,-5,82,,3.426027135
-3.06,52,-974,0.823885015,13,904,-4.820754805,-7,83,,3.292139415
-3.07,52,-970,0.69407629,11,908,-5.262383094,-7,76,,3.277668288
-3.18,54,-972,0.692550996,11,910,-5.000632904,-7,80,,3.395979017
-3.17,54,-974,0.567889784,9,908,-2.095247665,-3,82,,3.403441582
-3.06,52,-972,0.952722252,15,902,-2.021360214,-3,85,,3.299422949
-2.94,50,-974,0.695608317,11,906,-0.698692749,-1,82,,3.158807043
-3.16,54,-978,0.823885015,13,904,-3.489316746,-5,82,,3.418465424
-3.04,52,-978,0.946427879,15,908,-2.147580406,-3,80,,3.277668288
-3.04,52,-978,0.695608317,11,906,-4.820754805,-7,83,,3.284887931
-3.06,52,-972,0.820256063,13,908,-3.489316746,-5,82,,3.277668288
-3.3,56,-972,0.697147121,11,904,-3.489316746,-5,82,,3.544758166
-2.93,50,-978,1.077335376,17,904,-3.576326012,-5,80,,3.165781355
-3.05,52,-976,0.822066534,13,906,-2.147580406,-3,80,,3.284887931
-3.16,54,-978,1.074957711,17,906,-3.576326012,-5,80,,3.410936979
-2.95,50,-970,0.695608317,11,906,-3.576326012,-5,80,,3.158807043
-3.06,52,-972,0.820256063,13,908,-6.263475968,-9,82,,3.277668288
-3.05,52,-976,0.697147121,11,904,-2.147580406,-3,80,,3.292139415
-2.83,48,-972,0.948516743,15,906,-4.879262373,-7,82,,3.032695524
-2.82,48,-974,0.822066534,13,906,-2.095247665,-3,82,,3.032695524
-3.07,52,-970,1.074957711,17,906,-3.44737879,-5,83,,3.284887931
-3.05,52,-976,0.816658937,13,912,-3.489316746,-5,82,,3.263323687
-3.06,52,-972,0.820256063,13,908,-3.667779479,-5,78,,3.277668288
-3.17,54,-974,0.948516743,15,906,-5.12817905,-7,78,,3.410936979
-3.18,54,-972,0.820256063,13,908,-5.000632904,-7,80,,3.403441582
-2.94,50,-974,0.948516743,15,906,-3.44737879,-5,83,,3.158807043
-2.94,50,-972,1.077335376,17,904,-3.576326012,-5,80,,3.165781355
-3.41,58,-974,1.072590517,17,908,-2.095247665,-3,82,,3.654888482
-2.94,50,-974,0.950614847,15,904,-5.403778724,-7,74,,3.165781355
-2.84,48,-968,0.822066534,13,906,-5.262383094,-7,76,,3.032695524
-2.95,50,-970,0.822066534,13,906,-2.021360214,-3,85,,3.158807043
-3.07,52,-970,0.950614847,15,904,-3.576326012,-5,80,,3.292139415
-3.19,54,-970,0.822066534,13,906,-3.489316746,-5,82,,3.410936979
-2.83,48,-970,0.823885015,13,904,-0.690275584,-1,83,,3.039392462
-3.06,52,-972,0.569143321,9,906,-3.44737879,-5,83,,3.284887931
-2.83,48,-972,0.948516743,15,906,-2.147580406,-3,80,,3.032695524
-3.18,54,-972,0.822066534,13,906,-0.690275584,-1,83,,3.410936979
-2.94,50,-972,1.074957711,17,906,-6.581929264,-9,78,,3.158807043
-3.18,54,-972,0.820256063,13,908,-3.489316746,-5,82,,3.403441582
-2.83,48,-970,0.950614847,15,904,-2.147580406,-3,80,,3.039392462
-3.29,56,-974,0.822066534,13,906,-4.879262373,-7,82,,3.53695298
-2.93,50,-976,1.079723582,17,902,-6.581929264,-9,78,,3.1727865
